id,name,gp,min,pts,fgm,fga,fg,3p_made,3pa,3p,ftm,fta,ft,oreb,dreb,reb,ast,stl,blk,tov,target_5yrs
173,Chris Morris,76,27.6,14.1,5.4,11.9,45.7,0.8,2.3,36.6,2.4,3.3,71.7,2.5,2.8,5.2,1.6,1.3,0.8,2.5,1
174,Gary Grant,71,27.1,11.9,5.1,11.7,43.5,0.1,0.3,22.7,1.7,2.3,73.5,1.1,2.2,3.4,7.1,2,0.1,3.6,1
175,Vernon Maxwell,79,26.1,11.7,4.5,10.5,43.2,0.4,1.6,24.8,2.3,3.1,74.5,0.6,1.9,2.6,3.8,1.1,0.1,2.3,1
176,Ben McLemore,82,26.7,8.8,3.1,8.3,37.6,1.2,3.6,32,1.4,1.7,80.4,0.6,2.2,2.9,1,0.6,0.2,1.2,0
177,Dan Majerle,54,25.1,8.6,3.4,8,41.9,0.5,1.5,32.9,1.4,2.4,61.4,1.1,2.7,3.9,2.4,1.2,0.3,0.9,1
178,Sylvester Gray,55,22.2,8,3,7.2,42,0,0.1,25,1.9,2.8,67.3,2.1,3.1,5.2,2.1,0.7,0.5,1.9,0
179,Ricky Berry,64,22,11,4,8.9,45,1,2.5,40.6,2,2.6,78.9,0.9,2.2,3.1,1.3,0.6,0.3,1.3,0
180,Tom Garrick,71,21.1,6.4,2.5,5.1,49,0,0.2,0,1.4,1.8,80.3,0.5,1.7,2.2,3.4,1.1,0.1,1.6,0
181,Michael Anderson,36,20.3,5.7,2,4.9,41.7,0,0.2,14.3,1.6,2.3,69.5,1.2,1.3,2.5,4.3,1.2,0.1,2.3,0
182,Vinny Del Negro,80,19.5,7.1,3,6.3,47.5,0.1,0.3,30,1.1,1.3,85,0.6,1.5,2.1,2.6,0.8,0.2,1,1
183,Kelvin Upshaw,32,19.3,6.8,3.1,6.6,46.7,0.1,0.5,20,0.6,0.8,69.2,0.3,1.2,1.5,3.7,0.8,0.1,1.7,0
184,Derrick Chievous,81,19,9.3,3.4,7.8,43.7,0.1,0.3,20.8,2.4,3,78.3,1.4,1.8,3.2,1,0.6,0.1,1.7,0
185,Ledell Eackles,80,18.2,11.5,4,9.2,43.4,0.1,0.5,22.5,3.4,4.3,78.6,1.3,1,2.3,1.5,0.5,0.1,1.6,1
186,Harvey Grant,71,16.8,5.6,2.5,5.5,46.4,0,0,0,0.5,0.8,59.6,1.1,1.2,2.3,1.1,0.5,0.4,0.4,1
187,Rod Strickland,81,16.8,8.9,3.3,7,46.7,0.2,0.7,32.2,2.1,2.9,74.5,0.6,1.3,2,3.9,1.2,0,1.8,1
188,Scott Brooks,82,16.7,5.2,1.9,4.5,42,0.7,1.9,35.9,0.7,0.8,88.4,0.2,0.9,1.1,3.7,0.8,0,0.8,1
189,Todd Mitchell,24,14.7,5.1,1.8,4,44.3,0,0,0,1.5,2.7,57.8,0.8,1.3,2.1,0.9,0.7,0.1,1.4,0
190,John Shasky,65,14.5,5.5,1.9,3.8,48.8,0,0,0,1.8,2.6,68.9,1.5,2.1,3.6,0.3,0.2,0.2,0.7,0
191,Mark Bryant,56,14.3,5,2.1,4.4,48.6,0,0,0,0.7,1.2,58,1.2,2,3.2,0.6,0.4,0.1,0.7,1
192,Shelton Jones,51,13.4,4.8,1.8,4.1,44.5,0,0,0,1.1,1.6,72.5,0.6,1.6,2.2,0.8,0.4,0.3,0.9,0
193,Eric Leckner,75,10.4,4.3,1.6,2.9,54.5,0,0,0,1.1,1.5,69.9,0.6,2,2.7,0.2,0.1,0.3,0.9,1
194,Jerome Lane,54,10.2,4.8,2,4.7,42.6,0,0.1,0,0.8,2.1,38.4,1.6,2.1,3.7,1.1,0.4,0.1,0.9,1
195,Tim Perry,62,9.9,4.1,1.7,3.2,53.7,0,0.1,25,0.6,1,61.5,1,1.1,2.1,0.3,0.3,0.5,0.6,1
196,Jim Les,82,9.5,1.7,0.5,1.6,30.1,0,0.2,7.1,0.7,0.9,78.1,0.3,0.8,1.1,2.6,0.3,0.1,1.1,1
197,Craig Neal,53,9.4,2.2,0.8,2.3,36.6,0.2,0.6,29.4,0.3,0.4,60.9,0.1,0.4,0.5,2.2,0.5,0.1,1,0
198,David Rivers,47,9.4,2.9,1,2.6,40.2,0,0.1,16.7,0.7,0.9,83.3,0.3,0.6,0.9,2.3,0.5,0.2,1.3,0
199,John Starks,36,8.8,4.1,1.4,3.5,40.8,0.3,0.7,38.5,0.9,1.4,65.4,0.4,0.7,1.1,0.8,0.6,0.1,1.1,1
200,Andrew Lang,62,8.5,2.6,1,1.9,51.3,0,0,0,0.6,1,65,0.9,1.5,2.4,0.1,0.3,0.8,0.5,1
201,Bill Jones,37,8.3,3.5,1.4,2.8,49,0,0,0,0.8,1.2,67.4,0.5,0.7,1.3,0.5,0.5,0.2,0.5,0
202,Charles Shackleford,60,8.1,3.1,1.4,2.8,49.4,0,0,0,0.4,0.7,50,0.8,1.7,2.6,0.4,0.3,0.3,0.5,1
203,Morlon Wiley,51,8,2.2,0.9,2.2,40.4,0.1,0.5,25,0.3,0.3,81.3,0.3,0.7,0.9,1.5,0.5,0.1,0.7,1
204,Randolph Keys,42,7.9,4,1.8,4.1,43,0,0.2,10,0.5,0.7,69,0.5,0.8,1.3,0.5,0.3,0.1,0.5,1
205,Mark Davis,33,7.8,3.8,1.5,3.1,48,0,0.3,10,0.8,1,82.4,0.5,0.6,1.1,0.4,0.4,0.1,0.4,1
206,Troy Williams,24,17.4,5.3,2.1,5.1,41.8,0.4,1.7,24.4,0.6,1,60,0.3,1.6,1.8,0.8,1,0.4,1.1,0
207,Hollis Thompson,77,22.6,6,2.2,4.8,46,0.9,2.2,40.1,0.7,0.9,71.2,0.9,2.3,3.2,0.9,0.7,0.2,0.8,0
208,Ron Grandison,72,7.3,2.5,0.8,2,41.5,0,0.1,0,0.8,1.1,73.8,0.7,0.6,1.3,0.6,0.3,0,0.5,0
209,Micheal Williams,49,7.3,2.6,1,2.6,36.4,0,0.2,22.2,0.6,1,66,0.2,0.4,0.6,1.4,0.3,0.1,0.9,1
210,Anthony Frederick,46,6.8,3.3,1.4,2.7,50.4,0,0.1,40,0.5,0.7,70.6,0.6,0.6,1.1,0.4,0.3,0.1,0.7,0
211,Avery Johnson,43,6.8,1.6,0.7,1.9,34.9,0,0.2,11.1,0.2,0.4,56.3,0.3,0.3,0.6,1.7,0.5,0.1,0.4,1
212,Everette Stephens,35,6,1.9,0.7,2.1,31.9,0.1,0.3,20,0.5,0.6,77.3,0.3,0.3,0.7,1.1,0.3,0.1,0.8,0
213,Jack Haley,51,5.7,2.2,0.7,1.5,47.4,0,0,0,0.7,0.9,78.3,0.4,1,1.4,0.2,0.2,0,0.5,1
214,Duane Ferrell,41,5.6,2.4,0.9,2,42.2,0,0,0,0.7,1.1,68.2,0.5,0.5,1,0.2,0.2,0.1,0.3,1
215,Mark Jackson,82,39.6,13.6,5.3,12.4,43.2,0.4,1.5,25.4,2.5,3.2,77.4,1.5,3.4,4.8,10.6,2.5,0.1,3.1,1
216,Kenny Smith,61,35.6,13.8,5.4,11.4,47.7,0.2,0.6,30.8,2.7,3.3,81.9,0.7,1.6,2.3,7.1,1.5,0.1,3,1
217,Nate Wolters,58,22.6,7.2,2.9,6.7,43.7,0.3,1.1,29,1,1.6,65.6,0.6,2,2.6,3.2,0.6,0.3,1,0
218,Armen Gilliam,55,32.9,14.8,6.2,13.1,47.5,0,0,0,2.4,3.5,67.9,2.4,5.5,7.9,1.3,1.1,0.5,2.2,1
219,Winston Garland,67,31.7,12.4,5.1,11.6,43.9,0.2,0.6,33.3,2.1,2.3,87.9,1,2.4,3.4,6.4,1.7,0.1,2.5,1
220,Joe Wolf,42,27.1,7.6,3.2,8,40.7,0.1,0.4,20,1.1,1.3,83.3,1.2,3.2,4.5,2.3,0.9,0.4,1.8,1
221,Reggie Williams,35,24.5,10.4,4.3,12.2,35.6,0.4,1.7,22.4,1.4,1.9,72.7,1.6,1.8,3.4,1.7,0.8,0.6,1.8,1
222,Greg Anderson,82,24.2,11.7,4.6,9.2,50.1,0,0.1,20,2.4,4,60.4,2,4.3,6.3,1,0.7,1.5,1.7,1
223,Kevin Johnson,80,24,9.2,3.4,7.5,46.1,0.1,0.3,20.8,2.2,2.6,83.9,0.5,1.9,2.4,5.5,1.3,0.3,1.8,1
224,Horace Grant,81,22.6,7.7,3.1,6.3,50.1,0,0,0,1.4,2.2,62.6,1.9,3.6,5.5,1.1,0.6,0.7,1.1,1
225,Reggie Miller*,82,22.4,10,3.7,7.6,48.8,0.7,2.1,35.5,1.8,2.3,80.1,1.2,1.2,2.3,1.6,0.7,0.2,1.2,1
226,Dennis Hopson,61,22.4,9.6,3.6,9,40.4,0.2,0.7,26.7,2.1,2.9,74,1,1.3,2.3,1.9,0.9,0.4,1.9,1
227,Ken Norman,66,21.7,8.6,3.7,7.6,48.2,0,0.2,0,1.3,2.6,51.2,1.5,2.5,4,1.2,0.7,0.5,1.6,1
228,Ryan Kelly,59,22.2,8,2.7,6.3,42.3,0.8,2.4,33.8,1.9,2.3,81.5,0.7,3,3.7,1.6,0.5,0.8,0.8,0
229,Scottie Pippen*,79,20.9,7.9,3.3,7.1,46.3,0.1,0.3,17.4,1.3,2.2,57.6,1.5,2.3,3.8,2.1,1.1,0.7,1.7,1
230,Derrick McKey,82,20.8,8.5,3.1,6.3,49.1,0.1,0.4,36.7,2.1,2.7,77.2,1.4,2.6,4,1.3,0.8,0.8,1.3,1
231,Muggsy Bogues,79,20.6,5,2.1,5.4,39,0,0.2,18.8,0.7,0.9,78.4,0.4,1.3,1.7,5.1,1.6,0,1.3,1
232,Tellis Frank,78,20.5,8.1,3.1,7.2,42.8,0,0,0,1.9,2.7,72.5,1.2,3,4.2,1.4,0.7,0.3,1.4,1
233,Ricky Wilson,24,17.5,5.2,1.8,4.6,39.1,0.4,1.1,38.5,1.2,1.7,72.5,0.1,1,1.1,2.9,1,0.1,1,0
234,Dave Hoppen,39,16.5,5.7,2.2,4.7,45.9,0,0,0,1.4,1.6,87.1,1.5,3,4.5,0.8,0.3,0.1,0.9,1
235,Dallas Comegys,75,15,5.6,2.1,4.8,43,0,0,0,1.4,2,70.7,0.7,2.2,2.9,0.9,0.5,0.9,1.6,0
236,Mark Acres,79,14.6,3.6,1.4,2.6,53.2,0,0,0,0.9,1.4,64,1.3,2.1,3.4,0.5,0.4,0.3,0.7,1
237,Michael Jackson,58,13.1,2.7,1.1,2.9,37.4,0.1,0.4,24,0.4,0.6,71.9,0.3,0.7,1,3.1,0.3,0.1,1,0
238,Tony White,49,11.9,5.3,2.3,5.1,44.6,0,0.1,0,0.8,1.1,72.2,0.2,0.4,0.6,1.2,0.4,0,1,0
239,Brad Lohaus,70,10.3,4.2,1.7,3.5,49.6,0,0.2,23.1,0.7,0.9,80.6,0.7,1.3,2,0.7,0.3,0.6,0.8,1
240,Milt Wagner,40,9.5,3.8,1.6,3.7,42.2,0.1,0.3,20,0.7,0.7,89.7,0.1,0.6,0.7,1.5,0.1,0.1,0.6,0
241,Chris Dudley,55,9.3,3.1,1.2,2.5,47.4,0,0,0,0.7,1.3,56.3,1.3,1.3,2.6,0.4,0.2,0.3,0.6,1
242,Clinton Wheeler,59,8.7,2.5,1.1,2.2,47,0,0,0,0.4,0.6,73.5,0.3,0.4,0.7,1.7,0.6,0,0.9,0
243,Billy Donovan,44,8.3,2.4,1,2.5,40.4,0,0.2,0,0.4,0.5,81,0.1,0.5,0.6,2,0.4,0,0.9,0
244,Reggie Lewis,49,8.3,4.5,1.8,3.9,46.6,0,0.1,0,0.8,1.2,70.2,0.6,0.7,1.3,0.5,0.3,0.3,0.6,1
245,Martin Nessley,44,7.6,1.1,0.5,1.2,38.5,0,0,0,0.2,0.4,44.4,0.5,1.3,1.9,0.4,0.2,0.3,0.5,0
246,John Stroeder,41,6.6,1.9,0.7,1.9,36.7,0,0,0,0.5,0.7,66.7,0.6,1.1,1.7,0.5,0.1,0.3,0.6,0
247,Bart Kofoed,36,6.3,1.3,0.5,1.3,37.5,0.1,0.2,28.6,0.2,0.4,61.5,0.1,0.3,0.4,0.6,0.2,0,0.5,1
248,Ray McCallum,45,19.9,6.2,2.5,6.7,37.7,0.5,1.3,37.3,0.7,1,74.4,0.4,1.4,1.8,2.7,0.5,0.2,0.9,0
249,Ralph Lewis,50,6.2,1.7,0.5,1.7,31,0,0,0,0.6,1,60.4,0.3,0.7,1,0.3,0.3,0.1,0.4,0
250,Ron Harper,82,37.4,22.9,9,19.7,45.5,0.2,1.1,21.3,4.7,6.9,68.4,2.1,2.7,4.8,4.8,2.5,1,4.2,1
251,Chuck Person,82,36,18.8,7.7,16.6,46.8,0.6,1.7,35.5,2.7,3.6,74.7,2,6.2,8.3,3.6,1.1,0.2,2.6,1
252,Hot Rod Williams,80,33.9,14.6,5.4,11.2,48.5,0,0,0,3.7,5,74.5,2.8,5.1,7.9,1.9,0.7,2.1,1.7,1
253,Brad Daugherty,80,33.7,15.7,6.1,11.3,53.8,0,0,0,3.5,5,69.6,1.9,6.2,8.1,3.8,0.6,0.8,3.1,1
254,Nate McMillan,71,27.8,5.3,2,4.2,47.5,0,0.1,0,1.2,2,61.7,1.4,3.2,4.7,8.2,1.8,0.6,2.2,1
255,Kenny Walker,68,25.3,10.4,4.2,8.5,49.1,0,0.1,0,2.1,2.7,75.7,1.7,3.2,5,1.1,0.7,0.7,1.1,1
256,Walter Berry,63,25.2,15.9,6.5,12.2,53.1,0,0,0,3,4.6,64.9,2.2,2.7,4.9,1.7,0.6,0.6,2.4,0
257,John Williams,78,22.7,9.2,3.6,8,45.4,0.1,0.5,22.2,1.8,2.9,64.6,1.7,3,4.7,2.4,1.6,0.4,1.6,1
258,Kentavious Caldwell-Pope,80,19.8,5.9,2.3,5.8,39.6,0.7,2.3,31.9,0.6,0.8,77,0.5,1.5,2,0.7,0.9,0.1,0.3,0
259,Brad Sellers,80,21.9,8.5,3.5,7.6,45.5,0,0.1,20,1.6,2.2,72.8,1.9,2.7,4.7,1.3,0.6,0.8,1.1,1
260,David Wingate,77,20.9,8.8,3.4,7.8,43,0.2,0.7,25,1.9,2.6,74.1,0.9,1.1,2,2,1.2,0.3,1.7,1
261,Johnny Dawkins,81,20.8,10.3,4.1,9.4,43.7,0.2,0.6,29.8,1.9,2.4,80.1,0.7,1.4,2.1,3.6,0.8,0,1.5,1
262,William Bedford,50,19.6,6.7,2.8,7.2,39.7,0,0,0,1,1.7,58.1,1.6,3.3,4.9,1.1,0.4,0.7,1.7,1
263,Jeff Hornacek,80,19.5,5.3,2,4.4,45.4,,0.5,27.9,1.2,1.5,77.7,0.5,1.8,2.3,4.5,0.9,0.1,1.9,1
264,Roy Tarpley,75,18.7,7.5,3.1,6.7,46.7,0,0,,1.3,1.9,67.6,2.4,4.7,7.1,0.7,0.8,1.1,1.4,1
265,Mark Price,67,18.2,6.9,2.6,6.3,40.8,0.3,1,32.9,1.4,1.7,83.3,0.5,1.3,1.7,3,0.6,0.1,1.6,1
266,John Salley,82,17.8,5.3,2,3.5,56.2,0,0,0,1.3,2.1,61.4,1.3,2.3,3.6,0.7,0.5,1.5,0.9,1
267,Mark Alarie,64,17.3,7.9,3.4,6.9,49,0,0.1,22.2,1,1.6,66.3,1.1,2.2,3.3,1.2,0.3,0.4,0.9,1
268,Ben Coleman,68,15.1,6.6,2.7,4.6,58.1,0,0,0,1.3,1.8,72.7,1.5,2.8,4.2,0.5,0.5,0.5,1.4,1
269,Dennis Rodman*,77,15,6.5,2.8,5.1,54.5,0,0,0,1,1.6,58.7,2.1,2.2,4.3,0.7,0.5,0.6,1.2,1
270,Larry Krystkowiak,68,14.8,6.6,2.5,5.5,45.6,0,,8.3,1.6,2.2,74.3,1.1,2.4,3.5,1.3,0.3,0.2,1,1
271,Kenny Gattison,77,14.3,5.2,1.9,4,47.6,0,0,0,1.4,2.2,63.2,1.1,2.4,3.5,0.5,0.3,0.4,1.1,1
272,Tim Kempton,66,14.2,4.4,1.5,3.1,47.1,0,0,0,1.4,2.1,69.3,1.1,1.9,2.9,0.8,0.6,0.2,0.7,1
273,Harold Pressley,67,13.6,4.6,2,4.7,42.3,0.1,0.4,25,0.5,0.7,72.9,1,1.6,2.6,1.8,0.6,0.3,0.9,0
274,Kevin Duckworth,65,13.5,5.4,2,4.2,47.6,0,0,0,1.4,2.1,68.7,1.2,2.3,3.4,0.4,0.3,0.3,1.2,1
275,Anthony Jones,65,13.2,5,2,5,41.3,0.1,0.3,35,0.8,1,76.9,0.6,1,1.6,1.1,0.7,0.3,0.8,0
276,Mike Brown,62,13.2,4.2,1.7,3.2,52.7,0,0,0,0.7,1.2,63.9,1.1,2.3,3.5,0.4,0.3,0.1,0.9,1
277,Grant Gondrezick,64,13.1,5.5,2.1,4.7,45,0.1,0.3,23.5,1.2,1.7,70.1,0.7,1,1.7,1.3,0.4,0.1,0.9,0
278,Billy Thompson,59,12.9,5.6,2.4,4.4,54.4,0,0,0,0.8,1.3,64.9,1.2,1.7,2.9,1,0.3,0.5,1,1
279,Mason Plumlee,70,18.2,7.4,2.8,4.3,65.9,0,0,0,1.7,2.8,62.6,1.4,3,4.4,0.9,0.7,0.8,1.1,0
280,Rafael Addison,62,11.5,5.8,2.4,5.3,44.1,0.3,0.8,32,0.8,1,79.7,0.7,1,1.7,0.7,0.4,0.1,0.9,1
281,Chris Washburn,35,11,3.8,1.6,4.1,39.3,0,0,0,0.5,1.5,35.3,1,1.9,2.9,0.5,0.2,0.2,1.1,0
282,Keith Smith,42,11,3.3,1.4,3.6,38,0.1,0.2,33.3,0.5,0.7,75,0.3,0.5,0.8,1,0.6,0.1,0.7,0
283,Johnny Newman,59,10.7,5,1.9,4.7,41.1,0,0.4,4.5,1.1,1.3,86.8,0.6,0.6,1.2,0.5,0.3,0.1,0.8,1
284,Johnny Rogers,45,10.4,4.2,2,4.1,48.6,0,0.1,0,0.2,0.3,60,0.7,1,1.7,0.6,0.2,0.2,0.4,0
285,Dell Curry,67,9.5,4.9,2.1,4.9,42.6,0.3,0.9,28.3,0.4,0.6,78.9,0.4,0.7,1.2,0.9,0.4,0.1,0.7,1
286,Buck Johnson,60,8.7,3.8,1.6,3.4,46.8,0,0,0,0.7,1,69,0.6,0.8,1.5,0.7,0.3,0.3,0.6,1
287,Clinton Smith,41,8.3,3.1,1.2,2.9,42.7,0,0,0,0.7,0.9,75,0.6,0.7,1.4,1.1,0.3,0,0.6,0
288,Dave Feitl,62,8,3.7,1.4,3.3,43.6,0,0,0,0.9,1.1,74.6,0.6,1.3,1.9,0.4,0.1,0.1,0.6,1
289,Bob Martin,43,6.7,3.4,1.2,3.1,37.8,0.1,0.3,20,1,1.5,63.6,0.3,0.7,1,0.8,0.3,0.1,0.8,0
290,Conner Henry,54,6,2.3,0.9,2.5,33.8,0.2,0.8,31,0.3,0.5,63,0.1,0.5,0.6,0.6,0.2,0,0.5,0
291,Patrick Ewing,50,35.4,20,7.7,16.3,47.4,0,0.1,0,4.5,6.1,73.9,2.5,6.5,9,2,1.1,2.1,3.4,0
292,Xavier McDaniel,82,33,17.1,7,14.3,49,0,0.1,20,3,4.4,68.7,3.7,4.2,8,2.4,1.2,0.5,3,1
293,Karl Malone*,81,30.6,14.9,6.2,12.5,49.6,0,0,0,2.4,5,48.1,2.1,6.7,8.9,2.9,1.3,0.5,3.4,1
294,Wayman Tisdale,81,28.1,14.7,6.4,12.4,51.5,0,0,0,2,2.9,68.4,2.4,4.9,7.2,1,0.4,0.5,2.3,1
295,Benoit Benjamin,79,26.4,11.1,4.1,8.4,49,0,0,33.3,2.9,3.9,74.6,2,5.6,7.6,1,0.8,2.6,1.8,1
296,Chris Mullin*,55,25.3,14,5.2,11.3,46.3,0.1,0.5,18.5,3.4,3.8,89.6,0.8,1.3,2.1,1.9,1.3,0.4,1.4,1
297,Gerald Wilkins,81,25,12.5,5.4,11.5,46.8,0.1,0.3,28,1.6,2.9,55.7,1.1,1.4,2.6,2,0.8,0.1,1.9,1
298,Joe Dumars*,82,23.9,9.4,3.5,7.3,48.1,0.1,0.2,31.3,2.3,2.9,79.8,0.7,0.7,1.5,4.8,0.8,0.1,1.9,1
299,Cody Zeller,82,17.3,6,2.1,4.9,42.6,0,0,0,1.8,2.4,73,1.4,2.9,4.3,1.1,0.5,0.5,1.1,0
300,Charles Oakley,77,23,9.6,3.6,7,51.9,0,0,0,2.3,3.5,66.2,3.3,5.3,8.6,1.7,0.9,0.4,2.3,1
301,Jon Koncak,82,20.7,8.3,3.2,6.3,50.7,0,0,0,1.9,3.1,60.7,2.1,3.6,5.7,0.7,0.5,0.8,1.4,1
302,Keith Lee,58,20.6,7.4,3.1,6.6,46.6,0,0.2,22.2,1.3,1.7,78.1,2,4.1,6.1,1.2,0.5,0.6,1.3,0
303,Ed Pinckney,80,20,8.5,3.2,5.7,55.8,0,0,0,2.1,3.2,67.3,1.2,2.7,3.9,1.1,0.9,0.5,1.9,1
304,A.C. Green,82,18.8,6.4,2.5,4.7,53.9,0,0.1,16.7,1.2,2,61.1,2,2.7,4.6,0.7,0.6,0.6,1.2,1
305,Bob Thornton,71,18.6,4.7,1.8,3.9,45.6,0,0,0,1.2,2.3,53.1,1.6,2.5,4.1,0.6,0.4,0.1,1.2,1
306,Terry Catledge,64,17.1,7.7,3.2,6.7,46.9,0,0.1,0,1.4,2.2,64.7,1.7,2.6,4.3,0.3,0.5,0.1,1.1,1
307,Spud Webb,79,15.6,7.8,2.5,5.2,48.3,0,0.1,18.2,2.7,3.5,78.5,0.3,1.2,1.6,4.3,1,0.1,2,1
308,Terry Porter,79,15.4,7.1,2.7,5.7,47.4,0.2,0.5,31,1.6,2,80.6,0.4,1,1.5,2.5,1,0,1.3,1
309,Marquese Chriss,34,17.1,7,2.7,6.3,42.7,0.6,2.1,31,1,1.7,59.6,1.1,2.2,3.3,0.5,0.5,0.5,1.2,0
310,Nick Calathes,71,16.5,4.9,2,4.4,45.7,0.3,0.9,31.1,0.6,1,61.1,0.3,1.6,1.9,2.9,0.9,0.1,1.4,0
311,Carey Scurry,78,15,4.7,1.8,3.9,47.2,0,0.1,9.1,1,1.6,61.9,1.2,1.9,3.1,1.1,1,0.8,1.2,0
312,Dirk Minniefield,76,14.9,5.5,2.2,4.6,48.1,0.1,0.5,27,1,1.2,78.5,0.6,1.2,1.7,3.5,0.9,0,1.4,0
313,Joe Kleine,80,14.8,5.2,2,4.3,46.5,0,0,0,1.2,1.6,72.3,1.4,3.3,4.7,0.6,0.3,0.4,1.3,1
314,Alfredrick Hughes,68,12.7,5.2,2.2,5.5,40.9,0,0.3,17.6,0.7,1.2,58.3,0.7,0.9,1.7,0.9,0.4,0.1,0.9,0
315,Ken Johnson,64,12.7,4.1,1.8,3.3,52.8,0,0,,0.6,1.3,43.5,1.4,2.4,3.8,0.3,0.2,0.3,0.9,0
316,Pete Williams,53,10.8,2.8,1.3,2.1,60.4,0,0,,0.3,0.8,42.5,0.9,1.9,2.8,0.3,0.4,0.4,0.4,0
317,Bill Martin,66,10.5,5,2.2,4.5,48,0,0.1,0,0.7,0.8,85.2,0.6,0.9,1.5,0.8,0.3,0.1,0.9,0
318,Tony Snell,77,16,4.5,1.7,4.4,38.4,0.7,2.3,32,0.4,0.5,75.6,0.2,1.4,1.6,0.9,0.4,0.2,0.6,0
319,Fred Cofield,45,10.4,3.7,1.7,4.1,40.8,0.1,0.3,20,0.3,0.4,60,0.1,0.9,1,1.8,0.4,0.1,1.1,0
320,Dwayne McClain,45,10.2,3.5,1.5,4,38.3,0,0.2,11.1,0.4,0.8,51.4,0.3,0.4,0.7,1.5,0.8,0.1,0.9,0
321,John Battle,64,10,4.3,1.6,3.5,45.5,0,0.1,0,1.2,1.6,72.8,0.2,0.8,1,1.2,0.4,0.1,0.7,1
322,Jerry Reynolds,55,9.2,3.7,1.3,2.9,44.4,0,0,50,1.1,1.9,55.8,0.7,0.8,1.5,1.6,0.8,0.3,0.9,1
323,Steve Harris,57,8.5,4.5,1.8,4.1,44.2,0,0.1,20,0.9,0.9,92.6,0.4,0.6,1,0.9,0.4,0.1,0.6,1
324,Lorenzo Charles,36,7.6,3.4,1.4,2.4,55.7,0,0,0,0.7,1,66.7,0.4,0.7,1.1,0.2,0.1,0.2,0.5,0
325,Sam Vincent,57,7.6,3.2,1,2.8,36.4,0,0.1,25,1.1,1.2,92.9,0.2,0.6,0.8,1.2,0.3,0.1,0.9,1
326,Blair Rasmussen,48,6.9,3.2,1.3,3.1,40.7,0,0,0,0.6,0.8,79.5,0.8,1.3,2,0.3,0.1,0.2,0.8,1
327,Phil Pressey,75,15.1,2.8,1,3.4,30.8,0.4,1.4,26.4,0.4,0.6,64.4,0.3,1.1,1.4,3.2,0.9,0.1,1.2,0
328,Michael Jordan*,82,38.3,28.2,10.2,19.8,51.5,0.1,0.6,17.3,7.7,9.1,84.5,2,4.5,6.5,5.9,2.4,0.8,3.5,1
329,Vern Fleming,80,31.1,14.1,5.4,11.5,47,0,0.1,0,3.3,4.2,76.7,1.9,2.2,4,3.1,1.2,0.1,2.5,1
330,Sam Bowie,76,29.2,10,3.9,7.3,53.7,0,0,0,2.1,3,71.1,2.7,5.9,8.6,2.8,0.7,2.7,2.3,1
331,Charles Barkley*,82,28.6,14,5.2,9.5,54.5,0,0.1,16.7,3.6,4.9,73.3,3.2,5.3,8.6,1.9,1.2,1,2.5,1
332,Sam Perkins,82,28.3,11,4.2,9,47.1,0.1,0.4,25,2.4,3,82,2.3,5.1,7.4,1.6,0.8,0.8,1.2,1
333,Jay Humphries,80,25.8,8.8,3.5,7.8,44.6,0.1,0.3,20,1.8,2.1,82.9,0.4,1.7,2.1,4.4,1.3,0.1,2.1,1
334,Melvin Turpin,79,24.7,10.6,4.6,9,51.1,0,0,,1.4,1.8,78.4,2,3.8,5.7,0.5,0.5,1.1,1.5,1
335,Otis Thorpe,82,23.4,12.8,5,8.4,60,0,0,0,2.8,4.5,62,2.3,4.5,6.8,1.4,0.4,0.5,2.3,1
336,Kevin Willis,82,21.8,9.3,3.9,8.4,46.7,0,0.1,22.2,1.5,2.2,65.7,2.2,4.2,6.4,0.4,0.4,0.6,1.3,1
337,Michael Cage,75,21.5,7.1,2.9,5.3,54.3,0,0,0,1.3,1.8,73.7,1.7,3.5,5.2,0.7,0.6,0.4,1.1,1
338,Alvin Robertson,79,21.3,9.2,3.8,7.6,49.8,0.1,0.1,36.4,1.6,2.1,73.4,,1.9,3.4,3.5,1.6,0.3,2.1,1
339,Tim McCormick,78,20.3,9.3,3.4,6.2,55.7,0,0,0,2.4,3.4,71.5,1.9,3.2,5.1,1,0.2,0.4,1.5,1
340,Charles Jones,78,20.1,8.4,3,5.8,52,0,0.1,0,2.3,3.6,64.8,1.8,3.3,5.1,1.6,0.6,0.8,1.8,1
341,Jeff Turner,72,19.8,5.8,2.4,5.2,45.4,0,0,0,1.1,1.3,85.9,,1.8,3,1.5,0.4,0.1,1.3,1
342,Tony Brown,82,19.3,6.6,2.6,5.7,46,0,0.1,0,1.4,2.1,67.8,1.8,1.7,3.5,1.9,0.7,0.1,1.4,1
343,Antoine Carr,62,19.3,8,3.2,6,52.8,0,0.1,33.3,1.6,2.1,78.9,1.3,2.5,3.7,1.3,0.5,1.3,1.7,1
344,Steve Colter,78,18.7,7.1,2.8,6.1,45.3,0.3,0.9,35.1,1.3,1.7,75.4,0.5,1.4,1.9,3.1,1,0.1,1.4,1
345,Ken Bannister,75,18.7,6.8,2.8,5.9,47,0,0,0,1.2,2.6,47.4,1.4,3,4.4,0.5,0.5,0.5,1.9,1
346,John Stockton*,82,18.2,5.6,1.9,4.1,47.1,0,0.1,18.2,1.7,2.4,73.6,0.3,1,1.3,5.1,1.3,0.1,1.8,1
